MetroShort,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState,price_level,cbd_lon,cbd_lat
"Chattanooga, TN",617809,647757,2816.941686,2759.211158,20403,223.9078362,234.761663,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,0.27364412,0.35716042,0.31837744,0.39439443,TN,182359.2575,-85.310501,35.0481
"Augusta, GA",607613,642385,4687.245382,4594.418319,18440,132.2502563,139.8185702,12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,GA-SC,0.26595157,0.33461559,0.30150679,0.35787222,GA,148675.9213,-81.965797,33.475899
"Des Moines, IA",562915,633852,3269.352741,3248.428044,27526,173.2884313,195.1257628,19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,IA,0.3752175,0.48650342,0.42664063,0.53014994,IA,204276.3138,-93.619598,41.5896
"Toledo, OH",635691,628193,1540.902735,1515.651279,22380,419.4177176,414.4706693,45780,"Toledo, OH",Toledo,OH,0.25834081,0.31394958,0.30763268,0.35740691,OH,133696.906,-83.536598,41.654099
"Provo, UT",519434,620113,2609.399768,2599.228956,26777,199.8415718,238.5757509,39340,"Provo-Orem, UT",Provo-Orem,UT,0.39045295,0.49995038,0.42573538,0.53445166,UT,377155.6251,-111.661,40.232498
"Harrisburg, PA",588886,612117,1709.859125,1664.093599,23692,353.8779311,367.8380833,25420,"Harrisburg-Carlisle, PA",Harrisburg-Carlisle,PA,0.32349467,0.42247415,0.38510406,0.48745069,PA,190145.4366,-76.884399,40.2565
"Wichita, KS",596187,611649,4098.489037,4067.984588,22450,146.555865,150.3567643,48620,"Wichita, KS",Wichita,KS,0.29718778,0.36983702,0.33535591,0.3976042,KS,131383.8823,-97.337502,37.686901
"Madison, WI",561081,609765,2907.005842,2861.361851,26312,196.0887959,213.1030718,31540,"Madison, WI",Madison,WI,0.38297972,0.46685943,0.42545289,0.512532,WI,302986.963,-89.386398,43.075298
"Ogden, UT",547184,608894,1225.0707,1215.581119,23710,450.1419047,500.9077475,36260,"Ogden-Clearfield, UT",Ogden-Clearfield,UT,0.33691397,0.43255445,0.35278675,0.4294838,UT,319326.5712,-111.973,41.2216
"Jackson, MS",577976,588211,5051.706322,5014.297588,21740,115.265596,117.3067593,27140,"Jackson, MS",Jackson,MS,0.29780158,0.36943841,0.35386786,0.42772666,MS,142046.2625,-90.184303,32.300598
"Syracuse, NY",593799,583315,2416.095393,2382.179795,21234,249.2670794,244.8660681,45060,"Syracuse, NY",Syracuse,NY,0.32639894,0.39347753,0.38042909,0.4399682,NY,147694.1968,-76.150497,43.048199
"Palm Bay, FL",539382,582534,1035.054401,867.9233807,25384,621.4626913,671.1813657,37340,"Palm Bay-Melbourne-Titusville, FL",Palm Bay-Melbourne-Titusville,FL,0.3318105,0.44749898,0.36454308,0.46937463,FL,238190.087,-80.669969,27.997982
"Fayetteville, AR",504965,578370,3930.396159,3875.969676,22022,130.280947,149.2194337,22220,"Fayetteville-Springdale-Rogers, AR-MO",Fayetteville-Springdale-Rogers,AR-MO,0.30760106,0.43046272,0.36532432,0.48063016,AR,197704.1646,-94.164803,36.063099
"Lancaster, PA",555785,576267,1164.732903,1122.840912,22257,494.9810735,513.2223041,29540,"Lancaster, PA",Lancaster,PA,0.24055651,0.30670777,0.29463229,0.35845444,PA,232768.098,-76.306099,40.039299
"Deltona, FL",518448,561343,1439.523953,1320.791965,23672,392.5281298,425.0048568,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona-Daytona Beach-Ormond Beach,FL,0.25670928,0.31427589,0.31015232,0.35761163,FL,223565.5576,-81.2221,28.92912
"Lexington, KY",510995,550810,1973.783448,1953.598782,22922,261.5659903,281.9463265,30460,"Lexington-Fayette, KY",Lexington-Fayette,KY,0.26912341,0.34080881,0.30464965,0.36847436,KY,190656.892,-84.497398,38.047401
"Ann Arbor, MI",518465,545756,1092.227562,1062.044932,21119,488.1761443,513.8727972,11460,"Ann Arbor, MI",Ann Arbor,MI,0.39217666,0.47228894,0.4488267,0.4869498,MI,317298.6595,-83.745903,42.280201
"Portland, ME",514464,532490,2404.070077,2107.939376,29413,244.0601498,252.6116291,76750,"Portland-South Portland, ME",Portland-South Portland,ME,0.34153235,0.44550616,0.38491789,0.48178625,ME,317528.6328,-70.260002,43.655899
"Scranton, PA",523508,516265,1758.598114,1728.99618,17711,302.7814671,298.5923311,42540,"Scranton--Wilkes-Barre--Hazleton, PA",Scranton--Wilkes-Barre--Hazleton,PA,0.24909435,0.30590999,0.30106217,0.35706991,PA,129079.5714,-75.663902,41.408699
"Salinas, CA",489095,511207,3295.822193,3241.681197,17493,150.8769587,157.6981106,41500,"Salinas, CA",Salinas,CA,0.21735431,0.30006251,0.25850368,0.33795309,CA,570828.6841,-121.655,36.674599
"Spokane, WA",473579,506026,2134.438547,2109.554037,22900,224.4924717,239.8734477,44060,"Spokane-Spokane Valley, WA",Spokane-Spokane Valley,WA,0.28824699,0.34493747,0.34154212,0.38370025,WA,270481.1399,-117.421,47.657501
